question_id,option_id,option_label,is_missing
2025-097_a_1,1,Loyalty,false
2025-097_a_1,2,Equality,false
2025-097_a_10,1,Strongly Agree,false
2025-097_a_10,2,Agree,false
2025-097_a_10,3,Neither Agree nor Disagree,false
2025-097_a_10,4,Disagree,false
2025-097_a_10,5,Strongly Disagree,false
2025-097_a_11,1,Extremely liberal,false
2025-097_a_11,2,Liberal,false
2025-097_a_11,3,Slightly liberal,false
2025-097_a_11,4,Moderate,false
2025-097_a_11,5,Slightly conservative,false
2025-097_a_11,6,Conservative,false
2025-097_a_11,7,Extremely conservative,false
2025-097_a_12,1,Lower class,false
2025-097_a_12,2,Working class,false
2025-097_a_12,3,Middle class,false
2025-097_a_12,4,Upper class,false
2025-097_a_12,5,Don't know,false
2025-097_a_14,1,Very concerned,false
2025-097_a_14,2,Somewhat concerned,false
2025-097_a_14,3,Not concerned,false
2025-097_a_14,4,I have not noticed any differences,false
2025-097_a_15,1,I have not experienced natural disasters.,false
2025-097_a_15,2,I have experienced stark changes.,false
2025-097_a_15,3,I have experienced some changes.,false
2025-097_a_15,4,I have experienced no changes.,false
2025-097_a_15,5,Unsure,false
2025-097_a_16,0,0: No pain,false
2025-097_a_16,1,1,false
2025-097_a_16,2,2,false
2025-097_a_16,3,3,false
2025-097_a_16,4,4,false
2025-097_a_16,5,5,false
2025-097_a_16,6,6,false
2025-097_a_16,7,7,false
2025-097_a_16,8,8,false
2025-097_a_16,9,9,false
2025-097_a_16,10,10: Worst pain imaginable,false
2025-097_a_17,0,0: No pain,false
2025-097_a_17,1,1,false
2025-097_a_17,2,2,false
2025-097_a_17,3,3,false
2025-097_a_17,4,4,false
2025-097_a_17,5,5,false
2025-097_a_17,6,6,false
2025-097_a_17,7,7,false
2025-097_a_17,8,8,false
2025-097_a_17,9,9,false
2025-097_a_17,10,10: Worst pain imaginable,false
2025-097_a_18,1,Stay in their home with help from you,false
2025-097_a_18,2,Stay in their home with professional help,false
2025-097_a_18,3,Live with you,false
2025-097_a_18,4,Live in an assisted living community,false
2025-097_a_18,5,Live in a nursing home,false
2025-097_a_19,1,I didn't use cannabis in the past month,false
2025-097_a_19,2,Strongly agree,false
2025-097_a_19,3,Agree,false
2025-097_a_19,4,Neither agree or disagree,false
2025-097_a_19,5,Disagree,false
2025-097_a_19,6,Strongly disagree,false
2025-097_a_19,7,Refuse to answer,false
2025-097_a_2,1,Very well,false
2025-097_a_2,2,Somewhat well,false
2025-097_a_2,3,Neither well nor poorly,false
2025-097_a_2,4,Somewhat poorly,false
2025-097_a_2,5,Very poorly,false
2025-097_a_20,1,Much higher than average,false
2025-097_a_20,2,Higher than average,false
2025-097_a_20,3,About average,false
2025-097_a_20,4,Lower than average,false
2025-097_a_20,5,Much lower than average,false
2025-097_a_20,6,Don't know,false
2025-097_a_21,1,Extremely important,false
