question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2025-097_a_1,Which moral value is more important to you?,ASA Omnibus Survey,which-moral-value-is-more-important-to-you,https://reports.verasight.io/reports/asa-2025#which-moral-value-is-more-important-to-you,1000,999.9999999999818,+/- 3.1%,false,2
2025-097_a_10,Please indicate the extent to which you agree or disagree with the following statement: Media portrayals of my race/ethnicity reflect the diversity and complexity of my experiences.,ASA Omnibus Survey,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-media-portrayals-of-my-race-ethnicity-reflect-the-diversity-and-complexity-of-my-experiences,https://reports.verasight.io/reports/asa-2025#please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-media-portrayals-of-my-race-ethnicity-reflect-the-diversity-and-complexity-of-my-experiences,1000,999.9999999999818,+/- 3.1%,false,5
2025-097_a_11,Where would you place yourself on the scale of political views?,ASA Omnibus Survey,where-would-you-place-yourself-on-the-scale-of-political-views,https://reports.verasight.io/reports/asa-2025#where-would-you-place-yourself-on-the-scale-of-political-views,1000,999.9999999999818,+/- 3.1%,false,7
2025-097_a_12,How would you describe your current social class?,ASA Omnibus Survey,how-would-you-describe-your-current-social-class,https://reports.verasight.io/reports/asa-2025#how-would-you-describe-your-current-social-class,1000,999.9999999999818,+/- 3.1%,false,5
2025-097_a_14,How concerned have you felt about changes you have noticed in the climate since you were a child?,ASA Omnibus Survey,how-concerned-have-you-felt-about-changes-you-have-noticed-in-the-climate-since-you-were-a-child,https://reports.verasight.io/reports/asa-2025#how-concerned-have-you-felt-about-changes-you-have-noticed-in-the-climate-since-you-were-a-child,1000,999.9999999999818,+/- 3.1%,false,4
2025-097_a_15,Have you noticed any changes in your health when experiencing repeated natural disasters?,ASA Omnibus Survey,have-you-noticed-any-changes-in-your-health-when-experiencing-repeated-natural-disasters,https://reports.verasight.io/reports/asa-2025#have-you-noticed-any-changes-in-your-health-when-experiencing-repeated-natural-disasters,1000,999.9999999999818,+/- 3.1%,false,5
2025-097_a_16,"On a scale of 0 to 10, with 0 being no pain at all and 10 being the worst pain imaginable, how would you rate your pain?",ASA Omnibus Survey,pain-rating-for-fingers-caught-in-car-door,https://reports.verasight.io/reports/asa-2025#on-a-scale-of-0-to-10-with-0-being-no-pain-at-all-and-10-being-the-worst-pain-imaginable-how-would-you-rate-your-pain,1000,999.9999999999818,+/- 3.1%,false,11
2025-097_a_17,"On a scale of 0 to 10, with 0 being no pain at all and 10 being the worst pain imaginable, how would you rate your pain?",ASA Omnibus Survey,pain-rating-for-stubbed-toe,https://reports.verasight.io/reports/asa-2025#on-a-scale-of-0-to-10-with-0-being-no-pain-at-all-and-10-being-the-worst-pain-imaginable-how-would-you-rate-your-pain,1000,999.9999999999818,+/- 3.1%,false,11
2025-097_a_18,"If your parent developed a health limitation that made it difficult for them to take care of themselves independently, what would be your preferred care arrangement for them?",ASA Omnibus Survey,if-your-parent-developed-a-health-limitation-that-made-it-difficult-for-them-to-take-care-of-themselves-independently-what-would-be-your-preferred-care-arrangement-for-them,https://reports.verasight.io/reports/asa-2025#if-your-parent-developed-a-health-limitation-that-made-it-difficult-for-them-to-take-care-of-themselves-independently-what-would-be-your-preferred-care-arrangement-for-them,1000,999.9999999999818,+/- 3.1%,false,5
2025-097_a_19,"Please indicate to extent to which you agree or disagree with the following statement: Over the past month, I followed a set of rules that guided my cannabis use in different situations, such as when or whether I use, and how much I use.",ASA Omnibus Survey,please-indicate-to-extent-to-which-you-agree-or-disagree-with-the-following-statement-over-the-past-month-i-followed-a-set-of-rules-that-guided-my-cannabis-use-in-different,https://reports.verasight.io/reports/asa-2025#please-indicate-to-extent-to-which-you-agree-or-disagree-with-the-following-statement-over-the-past-month-i-followed-a-set-of-rules-that-guided-my-cannabis-use-in-different-situations-such-as-when-or-whether-i-use-and-how-much-i-use,1000,999.9999999999818,+/- 3.1%,false,7
